TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenDecimals,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0x13ff9cd1575fb1c481cfe4f9ec6fa2990316b745ee37532b236dda5d1c593224,39048257,2026-04-26 01:08:05.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1905871435160000,ok,
0x81ad016425d11f984cb6adfb4c796801d03c4e39bf9d5d497f681bd5c252a088,39048266,2026-04-26 01:08:09.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905631433720000,ok,
0xc0d49131f7ae58cd13ec85d639c80d838567bc0e6b9bf359d829e63f89099b68,39048268,2026-04-26 01:08:11.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0x224d58391df8e3a8a24a4acc52c5eb4e7814b5cf0bf6c01484f1460f0aeb97a7,39048271,2026-04-26 01:08:12.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1906031436120000,ok,
0xf488284b04f07e91a96e864f51b3cdc57b99aa5244d2f61896324b607b41c138,39048274,2026-04-26 01:08:14.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1906271437560000,ok,
0x603c89bec42c142b29f55d096af1c615dd7e5fb40092343f462dd5559eb2545b,39048277,2026-04-26 01:08:15.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1906271437560000,ok,
0x603d17d84a3ef49c2ed2ad8de858b437f338572aa61a0eb829d2015f7062ef1f,39048279,2026-04-26 01:08:16.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1906271437560000,ok,
0x429271f344b27d093fd78cdbebadf48145cd3cd32535059ad442012e8c5b7367,39048282,2026-04-26 01:08:18.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,1000,1906031436120000,ok,
0x18f3bbe4ce36a7b0ea99855f2a8d0cccd09e33afdcb5797278b69f5d651eb532,39048292,2026-04-26 01:08:22.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1906271437560000,ok,
0x8d50996cf86852609a5ed4145ac75bc81a508d786cdb1daa71b1f70e5389ef44,39048294,2026-04-26 01:08:24.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905391432280000,ok,
